timestamp,source_path,destination_path,action,status,error,tags_json
2025-10-23T02:49:35.924777+00:00,006 - Cardiovascular Physiology] EKG Basics - How to Read & Interpret EKGs~ Updated Lecture.pdf,education/_unsorted/006 - Cardiovascular Physiology] EKG Basics - How to Read & Interpret EKGs~ Updated Lecture.pdf,dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.925679+00:00,008 - Cardiovascular Physiology] Cardiovascular ~ EKG Basics.pdf,education/_unsorted/008 - Cardiovascular Physiology] Cardiovascular ~ EKG Basics.pdf,dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.926410+00:00,009 - Cardiovascular Physiology] Cardiovascular ~ EKG s.pdf,education/_unsorted/009 - Cardiovascular Physiology] Cardiovascular ~ EKG s.pdf,dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.927098+00:00,"026 - Cardiovascular Pharmacology] Antiplatelet Medications ~ Mechanism of Action, .pdf","education/_unsorted/026 - Cardiovascular Pharmacology] Antiplatelet Medications ~ Mechanism of Action, .pdf",dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.927790+00:00,"031 - Cardiovascular Pharmacology] Beta Blockers ~ Mechanism of Action, Indications,.pdf","education/_unsorted/031 - Cardiovascular Pharmacology] Beta Blockers ~ Mechanism of Action, Indications,.pdf",dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.928489+00:00,"032 - Cardiovascular Pharmacology] Calcium Channel Blockers ~ Mechanism of Action, .pdf","education/calculator/cardiology_general/unknown/internal/032 - Cardiovascular Pharmacology] Calcium Channel Blockers ~ Mechanism of Action, .pdf",dry-run,ok,,"{""docType"": ""calculator"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""no""}"
2025-10-23T02:49:35.929046+00:00,"033 - Cardiovascular Pharmacology] ACE-I & ARBs ~ Mechanism of Action, Indications, Adverse Reactions.pdf","education/_unsorted/033 - Cardiovascular Pharmacology] ACE-I & ARBs ~ Mechanism of Action, Indications, Adverse Reactions.pdf",dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.930113+00:00,036.12 - Cardiovascular Pharmacology] Vasopressors.pdf,education/_unsorted/036.12 - Cardiovascular Pharmacology] Vasopressors.pdf,dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.931206+00:00,Acute Coronary Syndromes_25_06_17_12_28_28.pdf,education/_unsorted/Acute Coronary Syndromes_25_06_17_12_28_28.pdf,dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""ACS"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.931815+00:00,Antibiotics_First_Line_Treatments.pdf,education/_unsorted/Antibiotics_First_Line_Treatments.pdf,dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.932411+00:00,AorticD.pdf,education/_unsorted/AorticD.pdf,dry-run,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:49:35.933021+00:00,Arrythmias/AtrialFib_Flutter_Diagnosis_Treatment.html,education/article_RCT/cardiology_general/unknown/internal/AtrialFib_Flutter_Diagnosis_Treatment.html,dry-run,ok,,"{""docType"": ""article_RCT"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": ""RCT"", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""no""}"
