timestamp,source_path,destination_path,action,status,error,tags_json
2025-10-23T02:58:08.314545+00:00,006 - Cardiovascular Physiology] EKG Basics - How to Read & Interpret EKGs~ Updated Lecture.pdf,education/_unsorted/006 - Cardiovascular Physiology] EKG Basics - How to Read & Interpret EKGs~ Updated Lecture.pdf,copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:08.435133+00:00,008 - Cardiovascular Physiology] Cardiovascular ~ EKG Basics.pdf,education/_unsorted/008 - Cardiovascular Physiology] Cardiovascular ~ EKG Basics.pdf,copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:08.557983+00:00,009 - Cardiovascular Physiology] Cardiovascular ~ EKG s.pdf,education/_unsorted/009 - Cardiovascular Physiology] Cardiovascular ~ EKG s.pdf,copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:08.684546+00:00,"026 - Cardiovascular Pharmacology] Antiplatelet Medications ~ Mechanism of Action, .pdf","education/_unsorted/026 - Cardiovascular Pharmacology] Antiplatelet Medications ~ Mechanism of Action, .pdf",copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:08.809904+00:00,"031 - Cardiovascular Pharmacology] Beta Blockers ~ Mechanism of Action, Indications,.pdf","education/_unsorted/031 - Cardiovascular Pharmacology] Beta Blockers ~ Mechanism of Action, Indications,.pdf",copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:08.937087+00:00,"032 - Cardiovascular Pharmacology] Calcium Channel Blockers ~ Mechanism of Action, .pdf","education/calculator/cardiology_general/unknown/internal/032 - Cardiovascular Pharmacology] Calcium Channel Blockers ~ Mechanism of Action, .pdf",copy+delete,ok,,"{""docType"": ""calculator"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""no""}"
2025-10-23T02:58:09.061962+00:00,"033 - Cardiovascular Pharmacology] ACE-I & ARBs ~ Mechanism of Action, Indications, Adverse Reactions.pdf","education/_unsorted/033 - Cardiovascular Pharmacology] ACE-I & ARBs ~ Mechanism of Action, Indications, Adverse Reactions.pdf",copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:09.176446+00:00,036.12 - Cardiovascular Pharmacology] Vasopressors.pdf,education/_unsorted/036.12 - Cardiovascular Pharmacology] Vasopressors.pdf,copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:09.340479+00:00,Acute Coronary Syndromes_25_06_17_12_28_28.pdf,education/_unsorted/Acute Coronary Syndromes_25_06_17_12_28_28.pdf,copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""ACS"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
2025-10-23T02:58:09.531671+00:00,Antibiotics_First_Line_Treatments.pdf,education/_unsorted/Antibiotics_First_Line_Treatments.pdf,copy+delete,ok,,"{""docType"": ""notes"", ""condition"": ""cardiology_general"", ""source_org"": ""internal"", ""year"": ""unknown"", ""audience"": ""clinician"", ""evidence_level"": """", ""retention_class"": ""refresh_annual"", ""phi"": ""no"", ""needs_review"": ""yes""}"
